,year,forcing_mean,forcing_std
0,1750.0,0.0,0.0
1,1751.0,-0.030083938,0.00640761
2,1752.0,-0.03936288,0.018180655
3,1753.0,-0.049904007,0.01947628
4,1754.0,-0.070006564,0.025320388
5,1755.0,-0.7422646,0.12590817
6,1756.0,-0.08012774,0.031134244
7,1757.0,-0.08012774,0.031134244
8,1758.0,-0.08012774,0.031134244
9,1759.0,-0.14127475,0.062019147
10,1760.0,-0.20062679,0.06872652
11,1761.0,-1.1428711,0.2031674
12,1762.0,-0.33019847,0.05809393
13,1763.0,-0.13970335,0.025384348
14,1764.0,-0.080017835,0.023619285
15,1765.0,-0.09031662,0.036323022
16,1766.0,-0.08033525,0.03625986
17,1767.0,-0.07021406,0.031325527
18,1768.0,-0.009486997,0.022420945
19,1769.0,0.020876542,0.035242762
20,1770.0,0.05068033,0.053413127
21,1771.0,0.030437972,0.043142375
22,1772.0,-0.04990984,0.04113201
23,1773.0,-0.030111492,0.027800541
24,1774.0,-0.020307716,0.024986159
25,1775.0,-0.06079243,0.03539644
26,1776.0,-0.07133356,0.03998937
27,1777.0,-0.07133356,0.03998937
28,1778.0,-0.080833115,0.03580976
29,1779.0,-0.13143902,0.039081544
30,1780.0,-0.12176184,0.053493664
31,1781.0,-0.102117024,0.052753393
32,1782.0,-0.071753494,0.04177584
33,1783.0,-7.987705,1.4596323
34,1784.0,-0.61381924,0.11079352
35,1785.0,-0.19234611,0.054199185
36,1786.0,-0.051716223,0.04060936
37,1787.0,-0.011917864,0.043486156
38,1788.0,-0.11205748,0.05399651
39,1789.0,-0.08249316,0.04933183
40,1790.0,-0.07277818,0.05851263
41,1791.0,-0.06274582,0.05843445
42,1792.0,-0.042643256,0.054845687
43,1793.0,-0.06344535,0.06727401
44,1794.0,-0.2138422,0.07078489
45,1795.0,-0.01297926,0.054590963
46,1796.0,-0.79550457,0.15660404
47,1797.0,-0.093327075,0.059031352
48,1798.0,-0.043724943,0.06290972
49,1799.0,-0.03378137,0.065480016
50,1800.0,-0.02295775,0.068994924
51,1801.0,-0.1329587,0.06616239
52,1802.0,-0.012532365,0.059015784
53,1803.0,0.007354785,0.060991433
54,1804.0,-0.2340198,0.082112975
55,1805.0,-0.07364157,0.0730644
56,1806.0,-0.013358512,0.069095425
57,1807.0,-0.013536116,0.07446885
58,1808.0,-0.023657298,0.07782238
59,1809.0,-6.9766035,1.2940689
60,1810.0,-2.271508,0.4280087
61,1811.0,-0.856943,0.17888492
62,1812.0,-0.3252271,0.10262226
63,1813.0,-0.13464323,0.08685173
64,1814.0,-0.014165905,0.08063275
65,1815.0,-11.692361,2.1616054
66,1816.0,-4.5892987,0.8510583
67,1817.0,-2.4524024,0.4595397
68,1818.0,-0.9475459,0.19258644
69,1819.0,-0.364686,0.1060851
70,1820.0,-0.07383588,0.08609995
71,1821.0,-0.04424749,0.09084364
72,1822.0,-0.05436867,0.093654566
73,1823.0,-0.05436867,0.093654566
74,1824.0,-0.04424749,0.09084364
75,1825.0,-0.03412631,0.088354126
76,1826.0,-0.034546264,0.09186522
77,1827.0,-0.014303906,0.088892795
